data_type,study_name_common,study_name_rare,trait_common,trait_rare
protein,UKB-PPP-european-AGRN:O00468:OID20786:v1,ukb-wes-az-00014641,UKB-PPP european AGRN,AGRN O00468 OID20786 v1 Inflammation
protein,UKB-PPP-european-TNFRSF4:P43489:OID20653:v1,ukb-wes-az-00013951,UKB-PPP european TNFRSF4,TNFRSF4 P43489 OID20653 v1 Inflammation
protein,UKB-PPP-european-CPTP:Q5TA50:OID30106:v1,ukb-wes-az-00014578,UKB-PPP european CPTP,CPTP Q5TA50 OID30106 v1 CardiometabolicII
protein,UKB-PPP-european-MXRA8:Q9BRK3:OID30583:v1,ukb-wes-az-00012893,UKB-PPP european MXRA8,MXRA8 Q9BRK3 OID30583 v1 InflammationII
protein,UKB-PPP-european-VWA1:Q6PCB0:OID21421:v1,ukb-wes-az-00014113,UKB-PPP european VWA1,VWA1 Q6PCB0 OID21421 v1 Oncology
protein,UKB-PPP-european-NADK:O95544:OID20178:v1,ukb-wes-az-00012921,UKB-PPP european NADK,NADK O95544 OID20178 v1 Cardiometabolic
protein,UKB-PPP-european-TNFRSF14:Q92956:OID20783:v1,ukb-wes-az-00013944,UKB-PPP european TNFRSF14,TNFRSF14 Q92956 OID20783 v1 Inflammation
protein,UKB-PPP-european-TP73:O15350:OID30879:v1,ukb-wes-az-00013979,UKB-PPP european TP73,TP73 O15350 OID30879 v1 NeurologyII
protein,UKB-PPP-european-PER3:P56645:OID30511:v1,ukb-wes-az-00013163,UKB-PPP european PER3,PER3 P56645 OID30511 v1 InflammationII
protein,UKB-PPP-european-TNFRSF9:Q07011:OID20985:v1,ukb-wes-az-00013954,UKB-PPP european TNFRSF9,TNFRSF9 Q07011 OID20985 v1 Neurology
protein,UKB-PPP-european-PARK7:Q99497:OID21160:v1,ukb-wes-az-00013105,UKB-PPP european PARK7,PARK7 Q99497 OID21160 v1 Neurology
protein,UKB-PPP-european-ENO1:P06733:OID21037:v1,ukb-wes-az-00014872,UKB-PPP european ENO1,ENO1 P06733 OID21037 v1 Neurology
protein,UKB-PPP-european-CA6:P23280:OID21096:v1,ukb-wes-az-00014210,UKB-PPP european CA6,CA6 P23280 OID21096 v1 Neurology
protein,UKB-PPP-european-CLSTN1:O94985:OID20874:v1,ukb-wes-az-00014513,UKB-PPP european CLSTN1,CLSTN1 O94985 OID20874 v1 Neurology
protein,UKB-PPP-european-NMNAT1:Q9HAN9:OID20913:v1,ukb-wes-az-00012992,UKB-PPP european NMNAT1,NMNAT1 Q9HAN9 OID20913 v1 Neurology
protein,UKB-PPP-european-RBP7:Q96R05:OID31526:v1,ukb-wes-az-00013418,UKB-PPP european RBP7,RBP7 Q96R05 OID31526 v1 OncologyII
protein,UKB-PPP-european-PGD:P52209:OID30344:v1,ukb-wes-az-00013171,UKB-PPP european PGD,PGD P52209 OID30344 v1 CardiometabolicII
protein,UKB-PPP-european-DFFA:O00273:OID20620:v1,ukb-wes-az-00014737,UKB-PPP european DFFA,DFFA O00273 OID20620 v1 Inflammation
protein,UKB-PPP-european-EXOSC10:Q01780:OID30083:v1,ukb-wes-az-00014928,UKB-PPP european EXOSC10,EXOSC10 Q01780 OID30083 v1 CardiometabolicII
protein,UKB-PPP-european-ANGPTL7:O43827:OID21412:v1,ukb-wes-az-00012280,UKB-PPP european ANGPTL7,ANGPTL7 O43827 OID21412 v1 Oncology
protein,UKB-PPP-european-DRAXIN:Q8NBI3:OID20917:v1,ukb-wes-az-00014793,UKB-PPP european DRAXIN,DRAXIN Q8NBI3 OID20917 v1 Neurology
protein,UKB-PPP-european-NPPB:P16860:OID20049:v1,ukb-wes-az-00013011,UKB-PPP european NPPB,NPPB P16860 OID20049 v1 Cardiometabolic
protein,UKB-PPP-european-NTproBNP:NTproBNP:OID20125:v1,,UKB-PPP european NPPB,
protein,UKB-PPP-european-KIAA2013:Q8IYS2:OID31392:v1,ukb-wes-az-00012569,UKB-PPP european KIAA2013,KIAA2013 Q8IYS2 OID31392 v1 OncologyII
protein,UKB-PPP-european-TNFRSF8:P28908:OID21049:v1,ukb-wes-az-00013953,UKB-PPP european TNFRSF8,TNFRSF8 P28908 OID21049 v1 Neurology
protein,UKB-PPP-european-TNFRSF1B:P20333:OID21145:v1,ukb-wes-az-00013948,UKB-PPP european TNFRSF1B,TNFRSF1B P20333 OID21145 v1 Neurology
protein,UKB-PPP-european-LRRC38:Q5VT99:OID30924:v1,ukb-wes-az-00012710,UKB-PPP european LRRC38,LRRC38 Q5VT99 OID30924 v1 NeurologyII
protein,UKB-PPP-european-KAZN:Q674X7:OID31481:v1,ukb-wes-az-00012555,UKB-PPP european KAZN,KAZN Q674X7 OID31481 v1 OncologyII
protein,UKB-PPP-european-CTRC:Q99895:OID20752:v1,ukb-wes-az-00014644,UKB-PPP european CTRC,CTRC Q99895 OID20752 v1 Inflammation
protein,UKB-PPP-european-CELA2A:P08217:OID30411:v1,ukb-wes-az-00014416,UKB-PPP european CELA2A,CELA2A P08217 OID30411 v1 CardiometabolicII
protein,UKB-PPP-european-CASP9:P55211:OID30530:v1,ukb-wes-az-00014247,UKB-PPP european CASP9,CASP9 P55211 OID30530 v1 InflammationII
protein,UKB-PPP-european-DDI2:Q5TDH0:OID30602:v1,ukb-wes-az-00014716,UKB-PPP european DDI2,DDI2 Q5TDH0 OID30602 v1 InflammationII
protein,UKB-PPP-european-ZBTB17:Q13105:OID20082:v1,ukb-wes-az-00014153,UKB-PPP european ZBTB17,ZBTB17 Q13105 OID20082 v1 Cardiometabolic
protein,UKB-PPP-european-EPHA2:P29317:OID21342:v1,ukb-wes-az-00014895,UKB-PPP european EPHA2,EPHA2 P29317 OID21342 v1 Oncology
protein,UKB-PPP-european-NECAP2:Q9NVZ3:OID30089:v1,ukb-wes-az-00012949,UKB-PPP european NECAP2,NECAP2 Q9NVZ3 OID30089 v1 CardiometabolicII
protein,UKB-PPP-european-SDHB:P21912:OID31436:v1,ukb-wes-az-00013555,UKB-PPP european SDHB,SDHB P21912 OID31436 v1 OncologyII
protein,UKB-PPP-european-PADI2:Q9Y2J8:OID20467:v1,ukb-wes-az-00013086,UKB-PPP european PADI2,PADI2 Q9Y2J8 OID20467 v1 Inflammation
protein,UKB-PPP-european-PADI4:Q9UM07:OID20832:v1,ukb-wes-az-00013087,UKB-PPP european PADI4,PADI4 Q9UM07 OID20832 v1 Neurology
protein,UKB-PPP-european-IGSF21:Q96ID5:OID30210:v1,ukb-wes-az-00012410,UKB-PPP european IGSF21,IGSF21 Q96ID5 OID30210 v1 CardiometabolicII
protein,UKB-PPP-european-AKR7L:Q8NHP1:OID30488:v1,ukb-wes-az-00014866,UKB-PPP european AKR7L,AKR7L Q8NHP1 OID30488 v1 InflammationII
protein,UKB-PPP-european-NBL1:P41271:OID21486:v1,ukb-wes-az-00012930,UKB-PPP european NBL1,NBL1 P41271 OID21486 v1 Oncology
protein,UKB-PPP-european-PLA2G2A:P14555:OID20274:v1,ukb-wes-az-00013204,UKB-PPP european PLA2G2A,PLA2G2A P14555 OID20274 v1 Cardiometabolic
protein,UKB-PPP-european-CDA:P32320:OID30345:v1,ukb-wes-az-00014369,UKB-PPP european CDA,CDA P32320 OID30345 v1 CardiometabolicII
protein,UKB-PPP-european-EIF4G3:O43432:OID31022:v1,ukb-wes-az-00014860,UKB-PPP european EIF4G3,EIF4G3 O43432 OID31022 v1 NeurologyII
protein,UKB-PPP-european-ECE1:P42892:OID20891:v1,ukb-wes-az-00014818,UKB-PPP european ECE1,ECE1 P42892 OID20891 v1 Neurology
protein,UKB-PPP-european-HSPG2:P98160:OID20383:v1,ukb-wes-az-00012355,UKB-PPP european HSPG2,HSPG2 P98160 OID20383 v1 Cardiometabolic
protein,UKB-PPP-european-CELA3A:P09093:OID20298:v1,ukb-wes-az-00014417,UKB-PPP european CELA3A,CELA3A P09093 OID20298 v1 Cardiometabolic
protein,UKB-PPP-european-C1QA:P02745:OID20654:v1,ukb-wes-az-00014177,UKB-PPP european C1QA,C1QA P02745 OID20654 v1 Inflammation
protein,UKB-PPP-european-ELOA:Q14241:OID21337:v1,ukb-wes-az-00014867,UKB-PPP european ELOA,ELOA Q14241 OID21337 v1 Oncology
protein,UKB-PPP-european-PITHD1:Q9GZP4:OID31215:v1,ukb-wes-az-00013195,UKB-PPP european PITHD1,PITHD1 Q9GZP4 OID31215 v1 OncologyII
protein,UKB-PPP-european-LYPLA2:O95372:OID30817:v1,ukb-wes-az-00012740,UKB-PPP european LYPLA2,LYPLA2 O95372 OID30817 v1 NeurologyII
protein,UKB-PPP-european-HMGCL:P35914:OID30214:v1,ukb-wes-az-00012322,UKB-PPP european HMGCL,HMGCL P35914 OID30214 v1 CardiometabolicII
protein,UKB-PPP-european-FUCA1:P04066:OID20261:v1,ukb-wes-az-00012115,UKB-PPP european FUCA1,FUCA1 P04066 OID20261 v1 Cardiometabolic
protein,UKB-PPP-european-MYOM3:Q5VTT5:OID30633:v1,ukb-wes-az-00012914,UKB-PPP european MYOM3,MYOM3 Q5VTT5 OID30633 v1 InflammationII
protein,UKB-PPP-european-IL22RA1:Q8N6P7:OID20449:v1,ukb-wes-az-00012459,UKB-PPP european IL22RA1,IL22RA1 Q8N6P7 OID20449 v1 Inflammation
protein,UKB-PPP-european-IFNLR1:Q8IU57:OID20506:v1,ukb-wes-az-00012388,UKB-PPP european IFNLR1,IFNLR1 Q8IU57 OID20506 v1 Inflammation
protein,UKB-PPP-european-LDLRAP1:Q5SW96:OID31068:v1,ukb-wes-az-00012648,UKB-PPP european LDLRAP1,LDLRAP1 Q5SW96 OID31068 v1 NeurologyII
protein,UKB-PPP-european-PAFAH2:Q99487:OID31286:v1,ukb-wes-az-00013091,UKB-PPP european PAFAH2,PAFAH2 Q99487 OID31286 v1 OncologyII
protein,UKB-PPP-european-EXTL1:Q92935:OID30114:v1,ukb-wes-az-00014929,UKB-PPP european EXTL1,EXTL1 Q92935 OID30114 v1 CardiometabolicII
protein,UKB-PPP-european-CEP85:Q6P2H3:OID21241:v1,ukb-wes-az-00014433,UKB-PPP european CEP85,CEP85 Q6P2H3 OID21241 v1 Oncology
protein,UKB-PPP-european-NUDC:Q9Y266:OID20623:v1,ukb-wes-az-00013042,UKB-PPP european NUDC,NUDC Q9Y266 OID20623 v1 Inflammation
protein,UKB-PPP-european-CD164L2:Q6UWJ8:OID30922:v1,ukb-wes-az-00014306,UKB-PPP european CD164L2,CD164L2 Q6UWJ8 OID30922 v1 NeurologyII
protein,UKB-PPP-european-FGR:P09769:OID20828:v1,ukb-wes-az-00012072,UKB-PPP european FGR,FGR P09769 OID20828 v1 Neurology
protein,UKB-PPP-european-RPA2:P15927:OID30453:v1,ukb-wes-az-00013479,UKB-PPP european RPA2,RPA2 P15927 OID30453 v1 InflammationII
protein,UKB-PPP-european-SMPDL3B:Q92485:OID31387:v1,ukb-wes-az-00013696,UKB-PPP european SMPDL3B,SMPDL3B Q92485 OID31387 v1 OncologyII
protein,UKB-PPP-european-ATP5IF1:Q9UII2:OID20760:v1,ukb-wes-az-00013233,UKB-PPP european ATP5IF1,ATP5IF1 Q9UII2 OID20760 v1 Inflammation
protein,UKB-PPP-european-MED18:Q9BUE0:OID21236:v1,ukb-wes-az-00012795,UKB-PPP european MED18,MED18 Q9BUE0 OID21236 v1 Oncology
protein,UKB-PPP-european-RCC1:P18754:OID31356:v1,ukb-wes-az-00013421,UKB-PPP european RCC1,RCC1 P18754 OID31356 v1 OncologyII
protein,UKB-PPP-european-MECR:Q9BV79:OID30274:v1,ukb-wes-az-00012794,UKB-PPP european MECR,MECR Q9BV79 OID30274 v1 CardiometabolicII
protein,UKB-PPP-european-FABP3:P05413:OID30351:v1,ukb-wes-az-00014945,UKB-PPP european FABP3,FABP3 P05413 OID30351 v1 CardiometabolicII
protein,UKB-PPP-european-TINAGL1:Q9GZM7:OID20180:v1,ukb-wes-az-00013901,UKB-PPP european TINAGL1,TINAGL1 Q9GZM7 OID20180 v1 Cardiometabolic
protein,UKB-PPP-european-TXLNA:P40222:OID20952:v1,ukb-wes-az-00014034,UKB-PPP european TXLNA,TXLNA P40222 OID20952 v1 Neurology
protein,UKB-PPP-european-YARS1:P54577:OID31494:v1,ukb-wes-az-00014143,UKB-PPP european YARS1,YARS1 P54577 OID31494 v1 OncologyII
protein,UKB-PPP-european-AK2:P54819:OID31142:v1,ukb-wes-az-00014810,UKB-PPP european AK2,AK2 P54819 OID31142 v1 NeurologyII
protein,UKB-PPP-european-CLSPN:Q9HAW4:OID20831:v1,ukb-wes-az-00014512,UKB-PPP european CLSPN,CLSPN Q9HAW4 OID20831 v1 Neurology
protein,UKB-PPP-european-THRAP3:Q9Y2W1:OID30053:v1,ukb-wes-az-00013885,UKB-PPP european THRAP3,THRAP3 Q9Y2W1 OID30053 v1 CardiometabolicII
protein,UKB-PPP-european-CSF3R:Q99062:OID30527:v1,ukb-wes-az-00014622,UKB-PPP european CSF3R,CSF3R Q99062 OID30527 v1 InflammationII
protein,UKB-PPP-european-RSPO1:Q2MKA7:OID20938:v1,ukb-wes-az-00013488,UKB-PPP european RSPO1,RSPO1 Q2MKA7 OID20938 v1 Neurology
protein,UKB-PPP-european-EPHA10:Q5JZY3:OID20840:v1,ukb-wes-az-00014894,UKB-PPP european EPHA10,EPHA10 Q5JZY3 OID20840 v1 Neurology
protein,UKB-PPP-european-MANEAL:Q5VSG8:OID31244:v1,ukb-wes-az-00012757,UKB-PPP european MANEAL,MANEAL Q5VSG8 OID31244 v1 OncologyII
protein,UKB-PPP-european-NT5C1A:Q9BXI3:OID31102:v1,ukb-wes-az-00013030,UKB-PPP european NT5C1A,NT5C1A Q9BXI3 OID31102 v1 NeurologyII
protein,UKB-PPP-european-PPIE:Q9UNP9:OID31279:v1,ukb-wes-az-00013254,UKB-PPP european PPIE,PPIE Q9UNP9 OID31279 v1 OncologyII
protein,UKB-PPP-european-PPT1:P50897:OID30947:v1,ukb-wes-az-00013272,UKB-PPP european PPT1,PPT1 P50897 OID30947 v1 NeurologyII
protein,UKB-PPP-european-COL9A2:Q14055:OID31255:v1,ukb-wes-az-00014551,UKB-PPP european COL9A2,COL9A2 Q14055 OID31255 v1 OncologyII
protein,UKB-PPP-european-GUCA2A:Q02747:OID21101:v1,ukb-wes-az-00012274,UKB-PPP european GUCA2A,GUCA2A Q02747 OID21101 v1 Neurology
protein,UKB-PPP-european-FOXJ3:Q9UPW0:OID30445:v1,ukb-wes-az-00012103,UKB-PPP european FOXJ3,FOXJ3 Q9UPW0 OID30445 v1 InflammationII
protein,UKB-PPP-european-ERMAP:Q96PL5:OID30539:v1,ukb-wes-az-00014914,UKB-PPP european ERMAP,ERMAP Q96PL5 OID30539 v1 InflammationII
protein,UKB-PPP-european-TIE1:P35590:OID20303:v1,ukb-wes-az-00013890,UKB-PPP european TIE1,TIE1 P35590 OID20303 v1 Cardiometabolic
protein,UKB-PPP-european-PTPRF:P10586:OID20310:v1,ukb-wes-az-00013352,UKB-PPP european PTPRF,PTPRF P10586 OID20310 v1 Cardiometabolic
protein,UKB-PPP-european-ARTN:Q5T4W7:OID20446:v1,ukb-wes-az-00013010,UKB-PPP european ARTN,ARTN Q5T4W7 OID20446 v1 Inflammation
protein,UKB-PPP-european-UROD:P06132:OID30603:v1,ukb-wes-az-00014064,UKB-PPP european UROD,UROD P06132 OID30603 v1 InflammationII
protein,UKB-PPP-european-PRDX1:Q06830:OID20962:v1,ukb-wes-az-00013280,UKB-PPP european PRDX1,PRDX1 Q06830 OID20962 v1 Neurology
protein,UKB-PPP-european-TSPAN1:O60635:OID20078:v1,ukb-wes-az-00014020,UKB-PPP european TSPAN1,TSPAN1 O60635 OID20078 v1 Cardiometabolic
protein,UKB-PPP-european-EFCAB14:O75071:OID31460:v1,ukb-wes-az-00014835,UKB-PPP european EFCAB14,EFCAB14 O75071 OID31460 v1 OncologyII
protein,UKB-PPP-european-ELAVL4:P26378:OID30854:v1,ukb-wes-az-00014864,UKB-PPP european ELAVL4,ELAVL4 P26378 OID30854 v1 NeurologyII
protein,UKB-PPP-european-SCP2:P22307:OID21161:v1,ukb-wes-az-00013542,UKB-PPP european SCP2,SCP2 P22307 OID21161 v1 Oncology
protein,UKB-PPP-european-BSND:Q8WZ55:OID31184:v1,ukb-wes-az-00014138,UKB-PPP european BSND,BSND Q8WZ55 OID31184 v1 OncologyII
protein,UKB-PPP-european-PCSK9:Q8NBP7:OID20235:v1,ukb-wes-az-00013125,UKB-PPP european PCSK9,PCSK9 Q8NBP7 OID20235 v1 Cardiometabolic
protein,UKB-PPP-european-C8B:P07358:OID30719:v1,ukb-wes-az-00014196,UKB-PPP european C8B,C8B P07358 OID30719 v1 InflammationII
protein,UKB-PPP-european-TACSTD2:P09758:OID21447:v1,ukb-wes-az-00013819,UKB-PPP european TACSTD2,TACSTD2 P09758 OID21447 v1 Oncology
protein,UKB-PPP-european-JUN:P05412:OID20424:v1,ukb-wes-az-00012553,UKB-PPP european JUN,JUN P05412 OID20424 v1 Inflammation
protein,UKB-PPP-european-ANGPTL3:Q9Y5C1:OID20407:v1,ukb-wes-az-00012258,UKB-PPP european ANGPTL3,ANGPTL3 Q9Y5C1 OID20407 v1 Cardiometabolic
protein,UKB-PPP-european-ROR1:Q01973:OID20224:v1,ukb-wes-az-00013476,UKB-PPP european ROR1,ROR1 Q01973 OID20224 v1 Cardiometabolic
protein,UKB-PPP-european-DNAJC6:O75061:OID30247:v1,ukb-wes-az-00014770,UKB-PPP european DNAJC6,DNAJC6 O75061 OID30247 v1 CardiometabolicII
protein,UKB-PPP-european-LEPR:P48357:OID20128:v1,ukb-wes-az-00012656,UKB-PPP european LEPR,LEPR P48357 OID20128 v1 Cardiometabolic
protein,UKB-PPP-european-INSL5:Q9Y5Q6:OID31448:v1,ukb-wes-az-00012506,UKB-PPP european INSL5,INSL5 Q9Y5Q6 OID31448 v1 OncologyII
protein,UKB-PPP-european-IL12RB2:Q99665:OID30422:v1,ukb-wes-az-00012424,UKB-PPP european IL12RB2,IL12RB2 Q99665 OID30422 v1 InflammationII
protein,UKB-PPP-european-ACADM:P11310:OID31277:v1,ukb-wes-az-00012125,UKB-PPP european ACADM,ACADM P11310 OID31277 v1 OncologyII
protein,UKB-PPP-european-NEXN:Q0ZGT2:OID30678:v1,ukb-wes-az-00012962,UKB-PPP european NEXN,NEXN Q0ZGT2 OID30678 v1 InflammationII
protein,UKB-PPP-european-GIPC2:Q8TF65:OID31153:v1,ukb-wes-az-00012196,UKB-PPP european GIPC2,GIPC2 Q8TF65 OID31153 v1 NeurologyII
protein,UKB-PPP-european-CTBS:Q01459:OID30710:v1,ukb-wes-az-00014637,UKB-PPP european CTBS,CTBS Q01459 OID30710 v1 InflammationII
protein,UKB-PPP-european-DDAH1:O94760:OID21299:v1,ukb-wes-az-00014713,UKB-PPP european DDAH1,DDAH1 O94760 OID21299 v1 Oncology
protein,UKB-PPP-european-CCN1:O00622:OID21368:v1,ukb-wes-az-00014290,UKB-PPP european CCN1,CCN1 O00622 OID21368 v1 Oncology
protein,UKB-PPP-european-COL24A1:Q17RW2:OID31464:v1,ukb-wes-az-00014542,UKB-PPP european COL24A1,COL24A1 Q17RW2 OID31464 v1 OncologyII
protein,UKB-PPP-european-GBP1:P32455:OID31128:v1,ukb-wes-az-00012155,UKB-PPP european GBP1,GBP1 P32455 OID31128 v1 NeurologyII
protein,UKB-PPP-european-GBP2:P32456:OID20489:v1,ukb-wes-az-00012156,UKB-PPP european GBP2,GBP2 P32456 OID20489 v1 Inflammation
protein,UKB-PPP-european-GBP4:Q96PP9:OID20845:v1,ukb-wes-az-00012157,UKB-PPP european GBP4,GBP4 Q96PP9 OID20845 v1 Neurology
protein,UKB-PPP-european-GBP6:Q6ZN66:OID30139:v1,ukb-wes-az-00012159,UKB-PPP european GBP6,GBP6 Q6ZN66 OID30139 v1 CardiometabolicII
protein,UKB-PPP-european-TGFBR3:Q03167:OID20255:v1,ukb-wes-az-00013875,UKB-PPP european TGFBR3,TGFBR3 Q03167 OID20255 v1 Cardiometabolic
protein,UKB-PPP-european-BRDT:Q58F21:OID30179:v1,ukb-wes-az-00014083,UKB-PPP european BRDT,BRDT Q58F21 OID30179 v1 CardiometabolicII
protein,UKB-PPP-european-EVI5:O60447:OID30519:v1,ukb-wes-az-00014926,UKB-PPP european EVI5,EVI5 O60447 OID30519 v1 InflammationII
protein,UKB-PPP-european-GCLM:P48507:OID30059:v1,ukb-wes-az-00012164,UKB-PPP european GCLM,GCLM P48507 OID30059 v1 CardiometabolicII
protein,UKB-PPP-european-F3:P13726:OID21440:v1,ukb-wes-az-00014939,UKB-PPP european F3,F3 P13726 OID21440 v1 Oncology
protein,UKB-PPP-european-VCAM1:P19320:OID20396:v1,ukb-wes-az-00014080,UKB-PPP european VCAM1,VCAM1 P19320 OID20396 v1 Cardiometabolic
protein,UKB-PPP-european-AMY2B:P19961:OID20340:v1,ukb-wes-az-00012191,UKB-PPP european AMY2B,AMY2B P19961 OID20340 v1 Cardiometabolic
protein,UKB-PPP-european-AMY2A:P04746:OID20333:v1,ukb-wes-az-00012180,UKB-PPP european AMY2A,AMY2A P04746 OID20333 v1 Cardiometabolic
protein,UKB-PPP-european-AMY1A-AMY1B-AMY1C:P0DUB6-P0DTE7-P0DTE8:OID30707:v1,,UKB-PPP european AMY1A,
protein,UKB-PPP-european-VAV3:Q9UKW4:OID30795:v1,ukb-wes-az-00014079,UKB-PPP european VAV3,VAV3 Q9UKW4 OID30795 v1 NeurologyII
protein,UKB-PPP-european-STXBP3:O00186:OID21240:v1,ukb-wes-az-00013796,UKB-PPP european STXBP3,STXBP3 O00186 OID21240 v1 Oncology
protein,UKB-PPP-european-CELSR2:Q9HCU4:OID30593:v1,ukb-wes-az-00014418,UKB-PPP european CELSR2,CELSR2 Q9HCU4 OID30593 v1 InflammationII
protein,UKB-PPP-european-PSRC1:Q6PGN9:OID21169:v1,ukb-wes-az-00013335,UKB-PPP european PSRC1,PSRC1 Q6PGN9 OID21169 v1 Oncology
protein,UKB-PPP-european-SORT1:Q99523:OID20213:v1,ukb-wes-az-00013721,UKB-PPP european SORT1,SORT1 Q99523 OID20213 v1 Cardiometabolic
protein,UKB-PPP-european-AMIGO1:Q86WK6:OID30881:v1,ukb-wes-az-00012102,UKB-PPP european AMIGO1,AMIGO1 Q86WK6 OID30881 v1 NeurologyII
protein,UKB-PPP-european-GSTM4:Q03013:OID30164:v1,ukb-wes-az-00012268,UKB-PPP european GSTM4,GSTM4 Q03013 OID30164 v1 CardiometabolicII
protein,UKB-PPP-european-CSF1:P09603:OID20719:v1,ukb-wes-az-00014614,UKB-PPP european CSF1,CSF1 P09603 OID20719 v1 Inflammation
protein,UKB-PPP-european-KCNC4:Q03721:OID30813:v1,ukb-wes-az-00012556,UKB-PPP european KCNC4,KCNC4 Q03721 OID30813 v1 NeurologyII
protein,UKB-PPP-european-LAMTOR5:O43504:OID31396:v1,ukb-wes-az-00012633,UKB-PPP european LAMTOR5,LAMTOR5 O43504 OID31396 v1 OncologyII
protein,UKB-PPP-european-PROK1:P58294:OID20543:v1,ukb-wes-az-00013303,UKB-PPP european PROK1,PROK1 P58294 OID20543 v1 Inflammation
protein,UKB-PPP-european-RAP1A:P62834:OID30452:v1,ukb-wes-az-00013402,UKB-PPP european RAP1A,RAP1A P62834 OID30452 v1 InflammationII
protein,UKB-PPP-european-RHOC:P08134:OID20950:v1,ukb-wes-az-00013448,UKB-PPP european RHOC,RHOC P08134 OID20950 v1 Neurology
protein,UKB-PPP-european-SLC16A1:P53985:OID20799:v1,ukb-wes-az-00013660,UKB-PPP european SLC16A1,SLC16A1 P53985 OID20799 v1 Neurology
protein,UKB-PPP-european-BCL2L15:Q5TBC7:OID30498:v1,ukb-wes-az-00013691,UKB-PPP european BCL2L15,BCL2L15 Q5TBC7 OID30498 v1 InflammationII
protein,UKB-PPP-european-CSDE1:O75534:OID30183:v1,ukb-wes-az-00014613,UKB-PPP european CSDE1,CSDE1 O75534 OID30183 v1 CardiometabolicII
protein,UKB-PPP-european-TSHB:P01222:OID20129:v1,ukb-wes-az-00014017,UKB-PPP european TSHB,TSHB P01222 OID20129 v1 Cardiometabolic
protein,UKB-PPP-european-NGF:P01138:OID20920:v1,ukb-wes-az-00012976,UKB-PPP european NGF,NGF P01138 OID20920 v1 Neurology
protein,UKB-PPP-european-CASQ2:O14958:OID30063:v1,ukb-wes-az-00014248,UKB-PPP european CASQ2,CASQ2 O14958 OID30063 v1 CardiometabolicII
protein,UKB-PPP-european-CD58:P19256:OID20716:v1,ukb-wes-az-00014347,UKB-PPP european CD58,CD58 P19256 OID20716 v1 Inflammation
protein,UKB-PPP-european-IGSF3:O75054:OID21312:v1,ukb-wes-az-00012411,UKB-PPP european IGSF3,IGSF3 O75054 OID21312 v1 Oncology
protein,UKB-PPP-european-CD2:P06729:OID30097:v1,ukb-wes-az-00014310,UKB-PPP european CD2,CD2 P06729 OID30097 v1 CardiometabolicII
protein,UKB-PPP-european-CD101:Q93033:OID31480:v1,ukb-wes-az-00014300,UKB-PPP european CD101,CD101 Q93033 OID31480 v1 OncologyII
protein,UKB-PPP-european-TTF2:Q9UNY4:OID30942:v1,ukb-wes-az-00014026,UKB-PPP european TTF2,TTF2 Q9UNY4 OID30942 v1 NeurologyII
protein,UKB-PPP-european-VTCN1:Q7Z7D3:OID21164:v1,ukb-wes-az-00014111,UKB-PPP european VTCN1,VTCN1 Q7Z7D3 OID21164 v1 Oncology
protein,UKB-PPP-european-MAN1A2:O60476:OID30262:v1,ukb-wes-az-00012754,UKB-PPP european MAN1A2,MAN1A2 O60476 OID30262 v1 CardiometabolicII
protein,UKB-PPP-european-REG4:Q9BYZ8:OID20784:v1,ukb-wes-az-00013430,UKB-PPP european REG4,REG4 Q9BYZ8 OID20784 v1 Inflammation
protein,UKB-PPP-european-NOTCH2:Q04721:OID30407:v1,ukb-wes-az-00013002,UKB-PPP european NOTCH2,NOTCH2 Q04721 OID30407 v1 CardiometabolicII
protein,UKB-PPP-european-HJV:Q6ZVN8:OID31006:v1,ukb-wes-az-00012315,UKB-PPP european HJV,HJV Q6ZVN8 OID31006 v1 NeurologyII
protein,UKB-PPP-european-CD160:O95971:OID20647:v1,ukb-wes-az-00014303,UKB-PPP european CD160,CD160 O95971 OID20647 v1 Inflammation
protein,UKB-PPP-european-PDZK1:Q5T2W1:OID30550:v1,ukb-wes-az-00013155,UKB-PPP european PDZK1,PDZK1 Q5T2W1 OID30550 v1 InflammationII
protein,UKB-PPP-european-ACP6:Q9NPH0:OID21432:v1,ukb-wes-az-00013245,UKB-PPP european ACP6,ACP6 Q9NPH0 OID21432 v1 Oncology
protein,UKB-PPP-european-GJA8:P48165:OID31187:v1,ukb-wes-az-00012200,UKB-PPP european GJA8,GJA8 P48165 OID31187 v1 OncologyII
protein,UKB-PPP-european-BOLA1:Q9Y3E2:OID30837:v1,ukb-wes-az-00013983,UKB-PPP european BOLA1,BOLA1 Q9Y3E2 OID30837 v1 NeurologyII
protein,UKB-PPP-european-SV2A:Q7L0J3:OID30965:v1,ukb-wes-az-00013810,UKB-PPP european SV2A,SV2A Q7L0J3 OID30965 v1 NeurologyII
protein,UKB-PPP-european-SF3B4:Q15427:OID21278:v1,ukb-wes-az-00013609,UKB-PPP european SF3B4,SF3B4 Q15427 OID21278 v1 Oncology
protein,UKB-PPP-european-OTUD7B:Q6GQQ9:OID31064:v1,ukb-wes-az-00013081,UKB-PPP european OTUD7B,OTUD7B Q6GQQ9 OID31064 v1 NeurologyII
protein,UKB-PPP-european-PLEKHO1:Q53GL0:OID31088:v1,ukb-wes-az-00013214,UKB-PPP european PLEKHO1,PLEKHO1 Q53GL0 OID31088 v1 NeurologyII
