study_name,trait_name,category
ebi-a-GCST006944,Experiencing mood swings,social / behavioural
ebi-a-GCST006945,Feeling guilty,social / behavioural
ebi-a-GCST006946,Worry too long after an embarrassing experience,social / behavioural
ebi-a-GCST006947,Feeling fed-up,social / behavioural
ebi-a-GCST006948,Feeling nervous,social / behavioural
ebi-a-GCST006950,Feeling worry,social / behavioural
ebi-a-GCST006951,Feeling hurt,social / behavioural
ebi-a-GCST006952,Feeling tense,social / behavioural
ebi-a-GCST006956,Erectile dysfunction,health trait / disease outcome
ebi-a-GCST007090,Knee osteoarthritis,health trait / disease outcome
ebi-a-GCST007091,Osteoarthritis (hip),health trait / disease outcome
ebi-a-GCST007092,Osteoarthritis of the hip or knee,health trait / disease outcome
ebi-a-GCST007430,Peak expiratory flow,physiological
ebi-a-GCST007432,FEV1,physiological
ebi-a-GCST007542,High IL-1beta levels in gingival crevicular fluid,clinical measures
ebi-a-GCST007557,Birth weight,anthropometric
ebi-a-GCST007799,Asthma (adult onset),health trait / disease outcome
ebi-a-GCST007800,Asthma (childhood onset),health trait / disease outcome
ebi-a-GCST008403,Arterial stiffness index,clinical measures
ebi-a-GCST009965,Cotinine levels in current smokers,clinical measures
ebi-a-GCST009966,Smoking intensity (cotinine levels/cigarettes per day),social / behavioural
ebi-a-GCST009967,Smoking behaviour (cigarette pack-years),social / behavioural
ebi-a-GCST009968,Smoking behaviour (cigarettes smoked per day),social / behavioural
ebi-a-GCST009970,Cotinine and 3'-hydroxycotinine levels in current smokers,clinical measures
ebi-a-GCST009971,Nicotine metabolite ratio in current smokers,clinical measures
ebi-a-GCST009979,Major depressive disorder,health trait / disease outcome
ebi-a-GCST009980,Major depressive disorder in trauma exposed individuals,health trait / disease outcome
ebi-a-GCST009981,Major depressive disorder in trauma-unexposed individuals,health trait / disease outcome
ebi-a-GCST009982,Trauma exposure,health trait / disease outcome
ebi-a-GCST009983,Trauma exposure in major depressive disorder,health trait / disease outcome
ebi-a-GCST009984,Trauma exposure in major depressive disorder-negative individuals,health trait / disease outcome
ebi-a-GCST010723,Early age-related macular degeneration,health trait / disease outcome
ebi-a-GCST010775,COVID-19 (very severe respiratory confirmed vs not hospitalized) RELEASE 4,health trait / disease outcome
ebi-a-GCST010776,COVID-19 (RELEASE 4),health trait / disease outcome
ebi-a-GCST010777,COVID-19 (hospitalized vs population) RELEASE 4,health trait / disease outcome
ebi-a-GCST010778,COVID-19 (covid vs lab/self reported negative) RELEASE 4,health trait / disease outcome
ebi-a-GCST010781,COVID-19 (predicted covid from self-reported symptoms vs predicted or self-reported non-covid) RELEASE 4,health trait / disease outcome
ebi-a-GCST010782,COVID-19 (hospitalized covid vs not hospitalized covid) RELEASE 4,health trait / disease outcome
ebi-a-GCST010783,COVID-19 (very severe respiratory confirmed vs population) RELEASE 4,health trait / disease outcome
ebi-a-GCST011073,COVID-19 (RELEASE 5),health trait / disease outcome
ebi-a-GCST011075,COVID-19 (very severe respiratory confirmed vs population) RELEASE 5,health trait / disease outcome
ebi-a-GCST011080,COVID-19 (hospitalized vs not hospitalized) RELEASE 5,health trait / disease outcome
ebi-a-GCST011081,COVID-19 (hospitalized vs population) RELEASE 5,health trait / disease outcome
ebi-a-GCST011494,Daytime nap,physiological
ebi-a-GCST011888,Sporadic miscarriage,health trait / disease outcome
ebi-a-GCST012235,Oral cavity and pharyngeal cancer,health trait / disease outcome
ebi-a-GCST012237,Oral cavity cancer,health trait / disease outcome
ebi-a-GCST012241,Oropharynx cancer,health trait / disease outcome
ebi-a-GCST012487,Response to lithium treatment in bipolar disorder (continuous phenotype),operation / treatment
ebi-a-GCST90000025,Appendicular lean mass,anthropometric
ebi-a-GCST90000032,Myeloproliferative neoplasms,health trait / disease outcome
ebi-a-GCST90000287,Myocardial fractal dimension (slice 1),clinical measures
ebi-a-GCST90000288,Myocardial fractal dimension (slice 2),clinical measures
ebi-a-GCST90000289,Myocardial fractal dimension (slice 3),clinical measures
ebi-a-GCST90000290,Myocardial fractal dimension (slice 4),clinical measures
ebi-a-GCST90000291,Myocardial fractal dimension (slice 5),clinical measures
ebi-a-GCST90000292,Myocardial fractal dimension (slice 6),clinical measures
ebi-a-GCST90000293,Myocardial fractal dimension (slice 7),clinical measures
ebi-a-GCST90000294,Myocardial fractal dimension (slice 8),clinical measures
ebi-a-GCST90000295,Myocardial fractal dimension (slice 9),clinical measures
ebi-a-GCST90000514,Gastroesophageal reflux disease,health trait / disease outcome
ebi-a-GCST90000515,Barrett's esophagus,health trait / disease outcome
ebi-a-GCST90000618,Serum 25-Hydroxyvitamin D levels,clinical measures
ebi-a-GCST90001389,Creutzfeldt-Jakob disease (sporadic),health trait / disease outcome
ebi-a-GCST90001390,Dementia with Lewy bodies,health trait / disease outcome
ebi-a-GCST90001391,IgD+ B cell %B cell,blood cell measures
ebi-a-GCST90001392,IgD+ CD38+ B cell Absolute Count,blood cell measures
ebi-a-GCST90001393,IgD+ CD38dim B cell %B cell,blood cell measures
ebi-a-GCST90001394,IgD+ CD38dim B cell Absolute Count,blood cell measures
ebi-a-GCST90001395,IgD+ CD38- B cell %B cell,blood cell measures
ebi-a-GCST90001396,IgD+ CD38- B cell Absolute Count,blood cell measures
ebi-a-GCST90001397,Unswitched memory B cell %B cell,blood cell measures
ebi-a-GCST90001398,Unswitched memory B cell Absolute Count,blood cell measures
ebi-a-GCST90001399,IgD- CD27- B cell %B cell,blood cell measures
ebi-a-GCST90001400,IgD+ B cell Absolute Count,blood cell measures
ebi-a-GCST90001401,IgD- CD27- B cell Absolute Count,blood cell measures
ebi-a-GCST90001402,Switched memory B cell %B cell,blood cell measures
ebi-a-GCST90001403,Switched memory B cell Absolute Count,blood cell measures
ebi-a-GCST90001404,Plasma Blast-Plasma Cell %B cell,blood cell measures
ebi-a-GCST90001405,Plasma Blast-Plasma Cell Absolute Count,blood cell measures
ebi-a-GCST90001406,Memory B cell %B cell,blood cell measures
ebi-a-GCST90001407,Memory B cell Absolute Count,blood cell measures
ebi-a-GCST90001408,Naive-mature B cell %B cell,blood cell measures
ebi-a-GCST90001409,Naive-mature B cell Absolute Count,blood cell measures
ebi-a-GCST90001410,IgD- CD38+ B cell %B cell,blood cell measures
ebi-a-GCST90001411,IgD+ CD24+ B cell %B cell,blood cell measures
ebi-a-GCST90001412,IgD+ CD24+ B cell Absolute Count,blood cell measures
ebi-a-GCST90001413,IgD- CD24- B cell %B cell,blood cell measures
ebi-a-GCST90001414,IgD- CD24- B cell Absolute Count,blood cell measures
ebi-a-GCST90001415,IgD+ CD24- B cell %B cell,blood cell measures
ebi-a-GCST90001416,IgD+ CD24- B cell Absolute Count,blood cell measures
ebi-a-GCST90001417,CD24+ CD27+ B cell %B cell,blood cell measures
ebi-a-GCST90001418,CD24+ CD27+ B cell Absolute Count,blood cell measures
ebi-a-GCST90001419,CD20- B cell %B cell,blood cell measures
ebi-a-GCST90001420,IgD- CD38+ B cell Absolute Count,blood cell measures
ebi-a-GCST90001421,CD20- B cell Absolute Count,blood cell measures
ebi-a-GCST90001422,CD20- CD38- B cell %B cell,blood cell measures
ebi-a-GCST90001423,CD20- CD38- B cell Absolute Count,blood cell measures
ebi-a-GCST90001424,IgD+ B cell %Lymphocyte,blood cell measures
ebi-a-GCST90001425,IgD- CD38+ B cell %lymphocyte,blood cell measures
ebi-a-GCST90001426,IgD- CD38dim B cell %lymphocyte,blood cell measures
ebi-a-GCST90001427,IgD- CD38- B cell %lymphocyte,blood cell measures
ebi-a-GCST90001428,IgD- CD38dim B cell %B cell,blood cell measures
ebi-a-GCST90001429,IgD+ CD38+ B cell %lymphocyte,blood cell measures
ebi-a-GCST90001430,IgD+ CD38dim B cell %lymphocyte,blood cell measures
ebi-a-GCST90001431,IgD+ CD38- B cell %lymphocyte,blood cell measures
ebi-a-GCST90001432,Unswitched memory B cell %lymphocyte,blood cell measures
ebi-a-GCST90001433,IgD- CD27- B cell %lymphocyte,blood cell measures
ebi-a-GCST90001434,Switched memory B cell %lymphocyte,blood cell measures
ebi-a-GCST90001435,Plasma Blast-Plasma Cell %lymphocyte,blood cell measures
ebi-a-GCST90001436,Memory B cell %lymphocyte,blood cell measures
ebi-a-GCST90001437,Naive-mature B cell %lymphocyte,blood cell measures
ebi-a-GCST90001438,IgD- CD38dim B cell Absolute Count,blood cell measures
ebi-a-GCST90001439,IgD+ CD24+ B cell %lymphocyte,blood cell measures
ebi-a-GCST90001440,IgD- CD24- B cell %lymphocyte,blood cell measures
ebi-a-GCST90001441,IgD+ CD24- B cell %lymphocyte,blood cell measures
ebi-a-GCST90001442,CD24+ CD27+ B cell %lymphocyte,blood cell measures
ebi-a-GCST90001443,CD20- B cell %lymphocyte,blood cell measures
ebi-a-GCST90001444,CD20- CD38- B cell %lymphocyte,blood cell measures
ebi-a-GCST90001445,IgD- CD38- B cell %B cell,blood cell measures
ebi-a-GCST90001446,IgD- CD38- B cell Absolute Count,blood cell measures
ebi-a-GCST90001447,IgD+ CD38+ B cell %B cell,blood cell measures
ebi-a-GCST90001448,CD11c+ monocyte Absolute Count,blood cell measures
ebi-a-GCST90001449,CD11c+ monocyte %monocyte,blood cell measures
ebi-a-GCST90001450,CD62L- monocyte Absolute Count,blood cell measures
ebi-a-GCST90001451,CD62L- monocyte %monocyte,blood cell measures
ebi-a-GCST90001452,CD11c+ CD62L- monocyte Absolute Count,blood cell measures
ebi-a-GCST90001453,CD11c+ CD62L- monocyte %monocyte,blood cell measures
ebi-a-GCST90001454,CD62L- HLA DR++ monocyte Absolute Count,blood cell measures
ebi-a-GCST90001455,CD62L- HLA DR++ monocyte %monocyte,blood cell measures
ebi-a-GCST90001456,CD11c+ HLA DR++ monocyte Absolute Count,blood cell measures
ebi-a-GCST90001457,CD11c+ HLA DR++ monocyte %monocyte,blood cell measures
ebi-a-GCST90001458,Myeloid Dendritic Cell Absolute Count,blood cell measures
ebi-a-GCST90001459,Myeloid Dendritic Cell %Dendritic Cell,blood cell measures
ebi-a-GCST90001460,Plasmacytoid Dendritic Cell Absolute Count,blood cell measures
ebi-a-GCST90001461,Dendritic Cell Absolute Count,blood cell measures
ebi-a-GCST90001462,CD62L- Dendritic Cell Absolute Count,blood cell measures
ebi-a-GCST90001463,CD62L- Dendritic Cell %Dendritic Cell,blood cell measures
ebi-a-GCST90001464,CD86+ myeloid Dendritic Cell Absolute Count,blood cell measures
ebi-a-GCST90001465,CD86+ myeloid Dendritic Cell %Dendritic Cell,blood cell measures
ebi-a-GCST90001466,CD86+ plasmacytoid Dendritic Cell Absolute Count,blood cell measures
ebi-a-GCST90001467,CD86+ plasmacytoid Dendritic Cell %Dendritic Cell,blood cell measures
ebi-a-GCST90001468,CD62L- myeloid Dendritic Cell Absolute Count,blood cell measures
ebi-a-GCST90001469,CD62L- myeloid Dendritic Cell %Dendritic Cell,blood cell measures
ebi-a-GCST90001470,CD62L- plasmacytoid Dendritic Cell Absolute Count,blood cell measures
ebi-a-GCST90001471,CD62L- plasmacytoid Dendritic Cell %Dendritic Cell,blood cell measures
ebi-a-GCST90001472,CD62L- CD86+ myeloid Dendritic Cell Absolute Count,blood cell measures
ebi-a-GCST90001473,CD62L- CD86+ myeloid Dendritic Cell %Dendritic Cell,blood cell measures
ebi-a-GCST90001474,Plasmacytoid Dendritic Cell %Dendritic Cell,blood cell measures
ebi-a-GCST90001475,HLA DR++ monocyte %monocyte,blood cell measures
ebi-a-GCST90001476,HLA DR++ monocyte %leukocyte,blood cell measures
ebi-a-GCST90001477,HLA DR++ monocyte Absolute Count,blood cell measures
ebi-a-GCST90001478,CD4 regulatory T cell %CD4+ T cell,blood cell measures
ebi-a-GCST90001479,CD4 regulatory T cell %T cell,blood cell measures
ebi-a-GCST90001480,Resting CD4 regulatory T cell Absolute Count,blood cell measures
ebi-a-GCST90001481,Resting CD4 regulatory T cell %CD4 regulatory T cell,blood cell measures
ebi-a-GCST90001482,Resting CD4 regulatory T cell %CD4+ T cell,blood cell measures
ebi-a-GCST90001483,CD39+ resting CD4 regulatory T cell Absolute Count,blood cell measures
ebi-a-GCST90001484,CD39+ resting CD4 regulatory T cell %resting CD4 regulatory T cell,blood cell measures
ebi-a-GCST90001485,CD39+ resting CD4 regulatory T cell %CD4 regulatory T cell,blood cell measures
ebi-a-GCST90001486,Activated CD4 regulatory T cell Absolute Count,blood cell measures
ebi-a-GCST90001487,Activated CD4 regulatory T cell %CD4 regulatory T cell,blood cell measures
ebi-a-GCST90001488,Activated CD4 regulatory T cell %CD4+ T cell,blood cell measures
ebi-a-GCST90001489,CD39+ activated CD4 regulatory T cell Absolute Count,blood cell measures
ebi-a-GCST90001490,CD39+ activated CD4 regulatory T cell %activated CD4 regulatory T cell,blood cell measures
ebi-a-GCST90001491,CD39+ activated CD4 regulatory T cell %CD4 regulatory T cell,blood cell measures
ebi-a-GCST90001492,Secreting CD4 regulatory T cell Absolute Count,blood cell measures
ebi-a-GCST90001493,Secreting CD4 regulatory T cell %CD4 regulatory T cell,blood cell measures
ebi-a-GCST90001494,Secreting CD4 regulatory T cell %CD4+ T cell,blood cell measures
ebi-a-GCST90001495,CD39+ secreting CD4 regulatory T cell Absolute Count,blood cell measures
ebi-a-GCST90001496,CD39+ secreting CD4 regulatory T cell %secreting CD4 regulatory T cell,blood cell measures
ebi-a-GCST90001497,CD39+ secreting CD4 regulatory T cell %CD4 regulatory T cell,blood cell measures
ebi-a-GCST90001498,Activated & resting CD4 regulatory T cell Absolute Count,blood cell measures
ebi-a-GCST90001499,Activated & resting CD4 regulatory T cell %CD4 regulatory T cell,blood cell measures
ebi-a-GCST90001500,Activated & resting CD4 regulatory T cell %CD4+ T cell,blood cell measures
ebi-a-GCST90001501,Activated & secreting CD4 regulatory T cell Absolute Count,blood cell measures
ebi-a-GCST90001502,Activated & secreting CD4 regulatory T cell %CD4 regulatory T cell,blood cell measures
ebi-a-GCST90001503,Activated & secreting CD4 regulatory T cell %CD4+ T cell,blood cell measures
ebi-a-GCST90001504,CD25++ CD4+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001505,CD25++ CD4+ T cell %CD4+ T cell,blood cell measures
ebi-a-GCST90001506,CD25++ CD4+ T cell %T cell,blood cell measures
ebi-a-GCST90001507,CD25++ CD45RA+ CD4 not regulatory T cell Absolute Count,blood cell measures
ebi-a-GCST90001508,CD25++ CD45RA+ CD4 not regulatory T cell %CD4+ T cell,blood cell measures
ebi-a-GCST90001509,CD25++ CD45RA+ CD4 not regulatory T cell %T cell,blood cell measures
ebi-a-GCST90001510,CD25++ CD45RA- CD4 not regulatory T cell Absolute Count,blood cell measures
ebi-a-GCST90001511,CD25++ CD45RA- CD4 not regulatory T cell %CD4+ T cell,blood cell measures
ebi-a-GCST90001512,CD25++ CD45RA- CD4 not regulatory T cell %T cell,blood cell measures
ebi-a-GCST90001513,CD4 regulatory T cell Absolute Count,blood cell measures
ebi-a-GCST90001514,Hematopoietic Stem Cell Absolute Count,blood cell measures
ebi-a-GCST90001515,Immature Myeloid-Derived Suppressor Cells Absolute Count,blood cell measures
ebi-a-GCST90001516,Immature Myeloid-Derived Suppressor Cells %CD33dim HLA DR- CD66b-,blood cell measures
ebi-a-GCST90001517,CD33+ HLA DR+ Absolute Count,blood cell measures
ebi-a-GCST90001518,CD33+ HLA DR+ CD14- Absolute Count,blood cell measures
ebi-a-GCST90001519,CD33+ HLA DR+ CD14- %CD33+ HLA DR+,blood cell measures
ebi-a-GCST90001520,CD33+ HLA DR+ CD14dim Absolute Count,blood cell measures
ebi-a-GCST90001521,CD33+ HLA DR+ CD14dim %CD33+ HLA DR+,blood cell measures
ebi-a-GCST90001522,CD33- HLA DR- Absolute Count,blood cell measures
ebi-a-GCST90001523,CD33- HLA DR+ Absolute Count,blood cell measures
ebi-a-GCST90001524,Granulocytic Myeloid-Derived Suppressor Cells Absolute Count,blood cell measures
ebi-a-GCST90001525,CD33dim HLA DR+ CD11b+ Absolute Count,blood cell measures
ebi-a-GCST90001526,CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+,blood cell measures
ebi-a-GCST90001527,CD33dim HLA DR+ CD11b- Absolute Count,blood cell measures
ebi-a-GCST90001528,CD33dim HLA DR+ CD11b- %CD33dim HLA DR+,blood cell measures
ebi-a-GCST90001529,CD66b++ myeloid cell Absolute Count,blood cell measures
ebi-a-GCST90001530,Monocytic Myeloid-Derived Suppressor Cells Absolute Count,blood cell measures
ebi-a-GCST90001531,CD33dim HLA DR- Absolute Count,blood cell measures
ebi-a-GCST90001532,Basophil Absolute Count,blood cell measures
ebi-a-GCST90001533,Basophil %CD33dim HLA DR- CD66b-,blood cell measures
ebi-a-GCST90001534,CD45RA- CD4+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001535,CD45RA- CD4+ T cell %CD4+ T cell,blood cell measures
ebi-a-GCST90001536,CD45RA- CD4+ T cell %T cell,blood cell measures
ebi-a-GCST90001537,Central Memory CD4+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001538,Central Memory CD4+ T cell %CD4+ T cell,blood cell measures
ebi-a-GCST90001539,Central Memory CD4+ T cell %T cell,blood cell measures
ebi-a-GCST90001540,Naive CD4+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001541,Naive CD4+ T cell %CD4+ T cell,blood cell measures
ebi-a-GCST90001542,Effector Memory CD4+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001543,Effector Memory CD4+ T cell %CD4+ T cell,blood cell measures
ebi-a-GCST90001544,Effector Memory CD4+ T cell %T cell,blood cell measures
ebi-a-GCST90001545,Terminally Differentiated CD4+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001546,Terminally Differentiated CD4+ T cell %CD4+ T cell,blood cell measures
ebi-a-GCST90001547,Terminally Differentiated CD4+ T cell %T cell,blood cell measures
ebi-a-GCST90001548,Central Memory CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001549,Central Memory CD8+ T cell %CD8+ T cell,blood cell measures
ebi-a-GCST90001550,Central Memory CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001551,Naive CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001552,Naive CD8+ T cell %CD8+ T cell,blood cell measures
ebi-a-GCST90001553,Naive CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001554,Effector Memory CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001555,Effector Memory CD8+ T cell %CD8+ T cell,blood cell measures
ebi-a-GCST90001556,Effector Memory CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001557,Terminally Differentiated CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001558,Terminally Differentiated CD8+ T cell %CD8+ T cell,blood cell measures
ebi-a-GCST90001559,Terminally Differentiated CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001560,CD45RA+ CD8+ T cell Absolute Count,blood cell measures
ebi-a-GCST90001561,CD45RA+ CD8+ T cell %CD8+ T cell,blood cell measures
ebi-a-GCST90001562,CD45RA+ CD8+ T cell %T cell,blood cell measures
ebi-a-GCST90001563,Central Memory CD4-CD8- T cell Absolute Count,blood cell measures
ebi-a-GCST90001564,Central Memory CD4-CD8- T cell %CD4-CD8- T cell,blood cell measures
ebi-a-GCST90001565,Central Memory CD4-CD8- T cell %T cell,blood cell measures
ebi-a-GCST90001566,Naive CD4-CD8- T cell Absolute Count,blood cell measures
ebi-a-GCST90001567,Naive CD4-CD8- T cell %CD4-CD8- T cell,blood cell measures
ebi-a-GCST90001568,Naive CD4-CD8- T cell %T cell,blood cell measures
ebi-a-GCST90001569,Effector Memory CD4-CD8- T cell Absolute Count,blood cell measures
ebi-a-GCST90001570,Effector Memory CD4-CD8- T cell %CD4-CD8- T cell,blood cell measures
ebi-a-GCST90001571,Effector Memory CD4-CD8- T cell %T cell,blood cell measures
ebi-a-GCST90001572,Terminally Differentiated CD4-CD8- T cell Absolute Count,blood cell measures
